main_id,year,date,country,route,location,orig_lat,orig_lon,map_lat,map_lon,n_dead_missing,fix_type,coord_status
2015.MMP00357,2015,2015-08-31,Niger,Sahara Desert crossing,"Sahara Desert, between Agadez, Niger and Tripoli, Libya",27.75417578,13.91046,27.75417578,13.91046,3,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00377,2015,2015-09-06,Libya,Central Mediterranean,Off coast of Libya,31.914825,30.322228,31.914825,30.322228,20,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00394,2015,2015-09-15,Türkiye,Eastern Mediterranean,Off the coast of Türkiye’s southwestern Datça district. En route to Kos,34.8657,12.6049,34.8657,12.6049,22,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00399,2015,2015-09-18,Libya,Central Mediterranean,"Off the coast of Tripoli, Libya",36.50439,27.363253,36.50439,27.363253,7,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00485,2015,2015-10-10,Egypt,Central Mediterranean,off the Egyptian port of Baltim,31.5548412,31.091137,31.5548412,31.091137,11,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00519,2015,2015-10-19,Greece,Eastern Mediterranean,Off the coast of Megisti/Kastellorizo,34.2345,14.7437,34.2345,14.7437,5,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00549,2015,2015-10-22,Libya,Central Mediterranean,"off the shore of Gasr Garabulli, Libya",31.5548,31.0911,31.5548,31.0911,6,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00563,2015,2015-10-28,Greece,Eastern Mediterranean,"off of Lesvos, Greece",34.2708,15.0073,34.2708,15.0073,3,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00635,2015,2015-11-17,Egypt,Central Mediterranean,"Off the coast of Alexandria, Egypt",39.274069,26.38825,39.274069,26.38825,8,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00646,2015,2015-11-18,Türkiye,Eastern Mediterranean,"Southwestern coast of Türkiye, Mugla province, en route to Kos",31.241703,34.235811,31.241703,34.235811,15,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00689,2015,2015-12-08,Greece,Eastern Mediterranean,"off the coast of Cesme, Izmir, Türkiye near Chios",39.0245112,15.296917,39.0245112,15.296917,6,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00697,2015,2015-12-09,Sudan,Sahara Desert crossing,"Ash Shamaliyah, Sudan",29.52327,33.80567,29.52327,33.80567,3,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00770,2015,2015-12-22,Greece,Eastern Mediterranean,"Off the coast of Çeşme in İzmir province, Türkiye. En route to Chios island, Greece.",39.0245112,15.296917,39.0245112,15.296917,2,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00811,2015,2015-11-18,United Kingdom of Great Britain and Northern Ireland,Mainland Europe to the UK,"Remains found in a shipping container in Burton-on-Trend, UK",52.8140281,-1.637136,52.8140281,-1.637136,2,drop-noFix,flagged (shown at IOM's coordinates)
2016.MMP00336,2016,2016-03-31,Egypt,Central Mediterranean,"off the coast of Kafr el-Sheikh, Egypt",31.650931,30.626169,31.650931,30.626169,9,drop-noFix,flagged (shown at IOM's coordinates)
2016.MMP00364,2016,2016-04-09,Egypt,Central Mediterranean,"2 hours off the coast of el-Saloum, Egypt",31.576003,25.164174,31.576003,25.164174,459,drop-noFix,flagged (shown at IOM's coordinates)
2016.MMP00449,2016,2016-05-16,Egypt,Central Mediterranean,"North Nile Delta, Borg Meghezil village in the Metobas region, Egypt",31.319988,30.338503,31.319988,30.338503,1,drop-noFix,flagged (shown at IOM's coordinates)
2016.MMP00450,2016,2016-05-16,Egypt,Central Mediterranean,"North Nile Delta, Borg Meghezil village in the Metobas region, Egypt",31.319988,30.338503,31.319988,30.338503,1,drop-noFix,flagged (shown at IOM's coordinates)
2016.MMP00517,2016,2016-06-03,Greece,Central Mediterranean,Off the coast of Crete (departed from Libya and likely drifted off course),35.344528,25.184769,35.344528,25.184769,339,drop-noFix,flagged (shown at IOM's coordinates)
2016.MMP007376,2016,2016-08-25,Libya,Central Mediterranean,Unspecified location between North Africa and Italy.,38.960724,10.904485,38.960724,10.904485,1,drop-noFix,flagged (shown at IOM's coordinates)
2016.MMP007391,2016,2016-08-31,Libya,Central Mediterranean,Unspecified location between North Africa and Italy,38.960724,10.904485,38.960724,10.904485,3,drop-noFix,flagged (shown at IOM's coordinates)
2016.MMP007392,2016,2016-08-31,Libya,Central Mediterranean,Unspecified location between North Africa and Italy,38.960724,10.904485,38.960724,10.904485,1,drop-noFix,flagged (shown at IOM's coordinates)
2016.MMP007402,2016,2016-09-01,Libya,Central Mediterranean,Unspecified location between North Africa and Italy,38.960724,10.904485,38.960724,10.904485,1,drop-noFix,flagged (shown at IOM's coordinates)
2016.MMP007412,2016,2016-09-05,Libya,Central Mediterranean,Unspecified location between North Africa and Italy,38.960724,10.904485,38.960724,10.904485,7,drop-noFix,flagged (shown at IOM's coordinates)
2016.MMP007413,2016,2016-09-05,Libya,Central Mediterranean,Unspecified location between North Africa and Italy,38.960724,10.904485,38.960724,10.904485,1,drop-noFix,flagged (shown at IOM's coordinates)
2016.MMP007414,2016,2016-09-05,Libya,Central Mediterranean,Unspecified location between North Africa and Italy,38.960724,10.904485,38.960724,10.904485,7,drop-noFix,flagged (shown at IOM's coordinates)
2016.MMP007439,2016,2016-09-15,Libya,Central Mediterranean,Unspecified location between North Africa and Italy,38.960724,10.904485,38.960724,10.904485,1,drop-noFix,flagged (shown at IOM's coordinates)
2016.MMP007463,2016,2016-09-21,Egypt,Central Mediterranean,"12 km (7.5 m) off the coast of Burg Rashid, Egypt",31.473282,30.32364,31.473282,30.32364,288,drop-noFix,flagged (shown at IOM's coordinates)
2016.MMP007480,2016,2016-09-28,Libya,Central Mediterranean,"Bodies found at Tobruk, Libya",32.096426,23.920517,32.096426,23.920517,18,drop-noFix,flagged (shown at IOM's coordinates)
2016.MMP007528,2016,2016-10-14,Libya,Central Mediterranean,Unspecified location between North Africa and Italy.,38.960724,10.904485,38.960724,10.904485,17,drop-noFix,flagged (shown at IOM's coordinates)
2017.MMP00224,2017,2017-03-03,Libya,Central Mediterranean,"Rescue boat, unspecified location between North Africa and Catania, Italy",37.2074443,15.9235954,37.2074443,15.9235954,1,drop-noFix,flagged (shown at IOM's coordinates)
2017.MMP00332,2017,2017-04-26,Libya,Central Mediterranean,"Near Tobruk, Libya",32.1125451,23.9335781,32.1125451,23.9335781,1,drop-noFix,flagged (shown at IOM's coordinates)
2017.MMP00662,2017,2017-07-22,Belgium,Mainland Europe to the UK,"Gare du Nord, Brussels, Belgium - bus destination Calais, France",50.8605262,4.3617873,50.8605262,4.3617873,1,drop-noFix,flagged (shown at IOM's coordinates)
2018.MMP00723,2018,2018-06-19,Belgium,Mainland Europe to the UK,"Bus in Berchem-Sainte-Agathe, Brussels, Belgium",50.8657821,4.2925975,50.8657821,4.2925975,1,drop-noFix,flagged (shown at IOM's coordinates)
2018.MMP01548,2018,2018-12-04,Algeria,Western Mediterranean,"Off the coast of Azzefoun, wilaya of Tizi Ouzou, Algeria",36.993449,4.395623,36.993449,4.395623,6,drop-noFix,flagged (shown at IOM's coordinates)
2019.MMP01376,2019,2019-09-28,Morocco,Western Mediterranean,"Off the coast of Plage Zenata, Ain Harrouda, Mohammédia, Morocco (Atlantic Ocean route)",33.650995542,-7.494747852,33.650995542,-7.494747852,53,drop-noFix,flagged (shown at IOM's coordinates)
2019.MMP01540,2019,2019-10-29,Mali,Western Africa / Atlantic route to the Canary Islands,"607km south of Gran Canaria, Canary Islands, Spain",23.612954113,-21.137810726,23.612954113,-21.137810726,5,drop-noFix,flagged (shown at IOM's coordinates)
2019.MMP01547,2019,2019-11-01,Libya,Central Mediterranean,"Off the coast of Tobruk, Libya",32.173680842,23.970284842,32.173680842,23.970284842,1,drop-noFix,flagged (shown at IOM's coordinates)
2019.MMP01612,2019,2019-11-13,Algeria,Western Mediterranean,"Bodies recovered off the coast of Jijel, Algeria",36.844390413,5.743294867,36.844390413,5.743294867,2,drop-noFix,flagged (shown at IOM's coordinates)
2019.MMP01889,2019,2019-11-29,United Kingdom of Great Britain and Northern Ireland,Mainland Europe to the UK,"M1 motorway Junction 18, Northamptonshire, UK",52.351268,-1.153393,52.351268,-1.153393,1,drop-noFix,flagged (shown at IOM's coordinates)
2020.MMP00153,2020,2020-02-14,Algeria,Western Mediterranean,"Body recovered off the coast of Collo, west of Skikda, wilaya of Skikda, Algeria - departed from Mostaganem on 28 January en route to Spain (Algeria route)",37.05948435,6.61858292,37.05948435,6.61858292,1,drop-noFix,flagged (shown at IOM's coordinates)
2020.MMP00213,2020,2020-03-09,France,Mainland Europe to the UK,"On the railway tracks around Metz, France.",49.1193089,6.1757156,49.1193089,6.1757156,1,drop-noFix,flagged (shown at IOM's coordinates)
2020.MMP00448,2020,2020-07-12,Tunisia,Central Mediterranean,"Boat departed from Tunisia with the aim of reaching Italy, but drifted and capsized off the coast of northwestern Crete, Greece",35.69644577,23.52386871,35.69644577,23.52386871,4,drop-noFix,flagged (shown at IOM's coordinates)
2020.MMP00489,2020,2020-07-24,Algeria,Western Mediterranean,"Boat  sailed from Ténès port on 23 July to Spain and capsized near Oued El Qasab beach, Ténès, Chlef Province, Algeria",36.961437,7.622403,36.961437,7.622403,7,drop-noFix,flagged (shown at IOM's coordinates)
2020.MMP00647,2020,2020-09-06,Italy,Central Mediterranean,"At the dock of Ancona, Italy - on board of a ferry coming from Greece",43.6158299,13.518915,43.6158299,13.518915,1,drop-noFix,flagged (shown at IOM's coordinates)
2020.MMP00969,2020,2020-11-26,Egypt,Central Mediterranean,"Remains recovered off Fanar and Narges Beaches, Baltim, Kafr El Sheikh, Egypt.",31.5555377,31.0943749,31.5555377,31.0943749,2,drop-noFix,flagged (shown at IOM's coordinates)
2020.MMP00972,2020,2020-11-27,Egypt,Central Mediterranean,"Remains recovered off the coast of Khoshoei village, Borollos, Kafr El Sheikh, Egypt.",31.57149961,30.84054923,31.57149961,30.84054923,1,drop-noFix,flagged (shown at IOM's coordinates)
2020.MMP01021,2020,2020-12-17,Algeria,Western Mediterranean,"Boat departed on 17 Dec from Béjaïa, Algeria",36.77749098,5.1281248,36.77749098,5.1281248,23,drop-noFix,flagged (shown at IOM's coordinates)
2020.MMP01025,2020,2020-12-18,Egypt,Central Mediterranean,"Remains washed ashore and retreived by Egyptian Coast Guard off the coast of Salloum, Marsa Matrouh, Egypt. Assumed that fishing boat departed from Salloum to Libya (transiting to Italy) before capsizing",31.57078449,26.16240104,31.57078449,26.16240104,18,drop-noFix,flagged (shown at IOM's coordinates)
2020.MMP01383,2020,2020-04-01,Egypt,Central Mediterranean,"Remains washed ashore between the coasts of El Salloum and Sidi Barrani, Marsa Matrouh, Egypt",31.51175298,25.45455957,31.51175298,25.45455957,5,drop-noFix,flagged (shown at IOM's coordinates)
2021.MMP00102,2021,2021-02-07,United Kingdom of Great Britain and Northern Ireland,Western Mediterranean,"Off the Rock of Gibraltar, Gibraltar, United Kingdom",36.1440934,-5.3417241,36.1440934,-5.3417241,4,drop-noFix,flagged (shown at IOM's coordinates)
2021.MMP00340,2021,2021-05-19,Morocco,Western Mediterranean,"Lamharza Essahel (Moon beach), El Jadida, Morocco",33.72837934,-7.889767254,33.72837934,-7.889767254,20,drop-noFix,flagged (shown at IOM's coordinates)
2021.MMP00648,2021,2021-08-12,Spain,Western Africa / Atlantic route to the Canary Islands,"650km south of the Canary Islands, Spain - departure from Dakhla, Western Sahara on 28 July",22.51527112,-18.39395041,22.51527112,-18.39395041,13,drop-noFix,flagged (shown at IOM's coordinates)
2021.MMP00722,2021,2021-08-27,Spain,Western Africa / Atlantic route to the Canary Islands,"Boat found 500km southwest of El Hierro, Canary Islands, Spain - 55 people had departed from Dakhla, Western Sahara 12 days earlier. 24 lost their lives during the journey, their remains were thrown overboard. The boat was found with 26 survivors and the remains of four people (a man, two women and a girl) inside. Another woman, who was pregnant, died upon arriving to Port of Arguineguín.",23.353795,-19.689307,23.353795,-19.689307,29,drop-noFix,flagged (shown at IOM's coordinates)
2021.MMP00872,2021,2021-10-11,Libya,Central Mediterranean,"Body found in boat near Al Barza'a Island, Libya",32.389909,23.366392,32.389909,23.366392,1,drop-noFix,flagged (shown at IOM's coordinates)
2021.MMP0161,2021,2021-11-11,Morocco,Western Mediterranean,"By the estuary of Oued Cherrat, Skhirat, Morocco",33.83200111,-7.121090617,33.83200111,-7.121090617,7,drop-noFix,flagged (shown at IOM's coordinates)
2021.MMP0276,2021,2021-12-18,Spain,Western Africa / Atlantic route to the Canary Islands,"At sea between The Gambia and the Canary Islands, Spain - boat found 800km south of Tenerife, departed from The Gambia 19 days before",21.501667,-20.148333,21.501667,-20.148333,17,drop-noFix,flagged (shown at IOM's coordinates)
2021.MMP0932,2021,2021-12-20,Spain,Western Africa / Atlantic route to the Canary Islands,"Off the coast of Santa Cruz de Tenerife, Spain - the dead were reported to have been thrown offboard 800 km southwest of the island before the remaining 105 were rescued",25.056323,-22.893275,25.056323,-22.893275,17,drop-noFix,flagged (shown at IOM's coordinates)
2022.MMP00001,2022,2022-01-02,Algeria,Western Mediterranean,"Retrieved from waters one mile off Aftis, El Aouana, Jijel, Algeria",36.716149,5.552716,36.716149,5.552716,1,drop-noFix,flagged (shown at IOM's coordinates)
2022.MMP00073,2022,2022-02-01,Morocco,Western Mediterranean,"100M off Plage David, Ben Slimane, Morocco",33.798407,-7.227699,33.798407,-7.227699,2,drop-noFix,flagged (shown at IOM's coordinates)
2022.MMP00156,2022,2022-03-12,Libya,Central Mediterranean,"Off Ras Bayad, Tobruk, Libya - embarkation from Tobruk at 03:00 AM",32.042773,24.026583,32.042773,24.026583,21,drop-noFix,flagged (shown at IOM's coordinates)
2022.MMP00290,2022,2022-03-24,Libya,Central Mediterranean,"Unspecified location off the coast of Tobruk, Libya",32.569913,23.99364,32.569913,23.99364,2,drop-noFix,flagged (shown at IOM's coordinates)
2022.MMP00291,2022,2022-03-26,Libya,Central Mediterranean,"Unspecified location off the coast of Tobruk, Libya",32.439045,23.848071,32.439045,23.848071,2,drop-noFix,flagged (shown at IOM's coordinates)
2022.MMP0605,2022,2022-06-07,Libya,Central Mediterranean,"Remains retreived from the waters off the coasts of Derna, Libya",32.77525,22.647642,32.77525,22.647642,1,drop-noFix,flagged (shown at IOM's coordinates)
2022.MMP0773,2022,2022-06-29,Libya,Central Mediterranean,"Remains washed ashore on the city corniche of Derna, Libya",32.77349,22.64526,32.77349,22.64526,1,drop-noFix,flagged (shown at IOM's coordinates)
2022.MMP0783,2022,2022-07-02,Libya,Central Mediterranean,"Remains washed ashore at Derna, Libya",32.763751,22.655635,32.763751,22.655635,1,drop-noFix,flagged (shown at IOM's coordinates)
2022.MMP0909,2022,2022-08-04,Libya,Central Mediterranean,"Remains washed ashore at Ein El Ghazala 60KM West Tobruk, Libya",32.14606,23.35711,32.14606,23.35711,1,drop-noFix,flagged (shown at IOM's coordinates)
2022.MMP2084,2022,2022-09-22,Morocco,Western Mediterranean,"Off the coast of Mohammedia, Morocco",33.971503,-7.671793,33.971503,-7.671793,2,drop-noFix,flagged (shown at IOM's coordinates)
2023.MMP0164,2023,2023-03-03,Libya,Central Mediterranean,"Off Tobruk, Libya - embarkation from Kambut, Libya",32.12385825,24.23538937,32.12385825,24.23538937,29,drop-noFix,flagged (shown at IOM's coordinates)
2023.MMP0198,2023,2023-04-09,Libya,Central Mediterranean,"Off the coast of Musaid (600 KM East Benghazi), Libya",31.70476985,25.16720172,31.70476985,25.16720172,4,drop-noFix,flagged (shown at IOM's coordinates)
2023.MMP0212,2023,2023-04-12,Libya,Central Mediterranean,"Remains retreived from the coast of Kirissah (23 KM West Dernah), Libya",32.8499379,22.4244689,32.8499379,22.4244689,1,drop-noFix,flagged (shown at IOM's coordinates)
2023.MMP0334,2023,2023-05-02,Morocco,Western Mediterranean,"Remains washed ashore at plage El Mansouria, Ben Slimane, Morocco - among missing boat that embarked from Skhirat attempting to reach Cádiz through the 'Atlantic Route', 13 days earlier",33.75321737,-7.297968438,33.75321737,-7.297968438,28,drop-noFix,flagged (shown at IOM's coordinates)
2023.MMP0474,2023,2023-07-09,Libya,Central Mediterranean,"Off Tobruk, Libya",32.11376569,23.96038201,32.11376569,23.96038201,1,drop-noFix,flagged (shown at IOM's coordinates)
2023.MMP0587,2023,2023-07-21,Morocco,Western Africa / Atlantic route to the Canary Islands,"Unspecified location off the coast of Nador, Morocco",35.17187365,-2.903182,35.17187365,-2.903182,6,drop-noFix,flagged (shown at IOM's coordinates)
2023.MMP0610,2023,2023-04-25,Morocco,Western Mediterranean,"Embarkation from the coasts of Azemmour, Morocco en route to Cádiz, Spain - 'Atlantic Route'",33.50740635,-8.338018,33.50740635,-8.338018,24,drop-noFix,flagged (shown at IOM's coordinates)
2023.MMP0642,2023,2023-08-07,Malta,Central Mediterranean,"Fell overboard around 34°32’ N, 011°578’E (Maltese SRR zone)",34.5333333,20.63333333,34.5333333,20.63333333,1,drop-noFix,flagged (shown at IOM's coordinates)
2023.MMP0680,2023,2023-07-30,Libya,Central Mediterranean,"Remains washed ashore at Um Alarzam, Libya",32.7660136,22.63258664,32.7660136,22.63258664,1,drop-noFix,flagged (shown at IOM's coordinates)
2023.MMP1317,2023,2023-08-17,Morocco,Western Mediterranean,"Near Tangiers after embarkation from Mohammadia, Morocco",33.98395639,-7.581156703,33.98395639,-7.581156703,4,drop-noFix,flagged (shown at IOM's coordinates)
2023.MMP1341,2023,2023-12-29,Italy,Central Mediterranean,"The boat set off from Zuwara, Libya and the death occurred on board on the way to Lampedusa, Italy",34.286215,-12.346598,34.286215,-12.346598,1,drop-noFix,flagged (shown at IOM's coordinates)
2024.MMP0239,2024,2024-03-26,Libya,Central Mediterranean,"Off the coasts of Tobruk, Libya",32.080065,23.941113,32.080065,23.941113,1,drop-noFix,flagged (shown at IOM's coordinates)
2024.MMP0902,2024,2024-06-26,Libya,Central Mediterranean,"Tobruk, Libya",32.099844,24.001882,32.099844,24.001882,1,drop-noFix,flagged (shown at IOM's coordinates)
2024.MMP0942,2024,2024-07-01,Libya,Central Mediterranean,"Remains recovered in Derna, Libya",32.782747,22.651392,32.782747,22.651392,1,drop-noFix,flagged (shown at IOM's coordinates)
2024.MMP0948,2024,2024-07-09,Egypt,Central Mediterranean,"Off the coast of Marsa Matrouh, Egypt",31.358019,27.237318,31.358019,27.237318,9,drop-noFix,flagged (shown at IOM's coordinates)
2024.MMP0996,2024,2024-07-18,Egypt,Central Mediterranean,"130 m from Sallum, Marsa Matrouh, Egypt",31.557845,25.158324,31.557845,25.158324,1,drop-noFix,flagged (shown at IOM's coordinates)
2024.MMP1041,2024,2024-07-30,Libya,Central Mediterranean,"Remains recovered in Derna, Libya",32.77523,22.642486,32.77523,22.642486,1,drop-noFix,flagged (shown at IOM's coordinates)
2024.MMP1153,2024,2024-09-03,Libya,Central Mediterranean,"Off the coasts of Tobruk, Libya",32.0901,24.003255,32.0901,24.003255,23,drop-noFix,flagged (shown at IOM's coordinates)
2024.MMP1200,2024,2024-09-12,Libya,Central Mediterranean,"Remains washed ashore at Al Bordi, Libya",31.764744,25.093175,31.764744,25.093175,1,drop-noFix,flagged (shown at IOM's coordinates)
2024.MMP1251,2024,2024-09-27,Libya,Central Mediterranean,"Off Ras Al-Markab, Ain Al Ghazala, 60 KM West of Tobruk, Libya",32.126207,24.02218,32.126207,24.02218,13,drop-noFix,flagged (shown at IOM's coordinates)
2024.MMP1290,2024,2024-10-02,Libya,Central Mediterranean,"Body washed ashore off the coasts of Tobruk, Libya",32.23869,23.97955,32.23869,23.97955,1,drop-noFix,flagged (shown at IOM's coordinates)
2024.MMP1291,2024,2024-10-03,Libya,Central Mediterranean,"Body washed ashore off the coasts of Tobruk, Libya",32.23869,23.97955,32.23869,23.97955,1,drop-noFix,flagged (shown at IOM's coordinates)
2024.MMP1292,2024,2024-10-04,Libya,Central Mediterranean,"Body washed ashore off the coasts of Tobruk, Libya",32.23869,23.97955,32.23869,23.97955,1,drop-noFix,flagged (shown at IOM's coordinates)
2024.MMP1666,2024,2024-10-28,Libya,Central Mediterranean,"60 kilometers (37 miles) east of Tobruk, Libya",32.094609,24.012868,32.094609,24.012868,12,drop-noFix,flagged (shown at IOM's coordinates)
2024.MMP1681,2024,2024-11-02,Spain,Western Africa / Atlantic route to the Canary Islands,"370 kilometers South of El Hierro, Canary Islands, Spain",22.42394,-19.603334,22.42394,-19.603334,48,drop-noFix,flagged (shown at IOM's coordinates)
2024.MMP1711,2024,2024-10-30,Libya,Central Mediterranean,"Bodies washed ashore off the coasts of Tobruk, Libya",32.118367,23.948638,32.118367,23.948638,1,drop-noFix,flagged (shown at IOM's coordinates)
2024.MMP1712,2024,2024-11-11,Libya,Central Mediterranean,"Bodies washed ashore off the coasts of Tobruk, Libya",32.118367,23.948638,32.118367,23.948638,2,drop-noFix,flagged (shown at IOM's coordinates)
2024.MMP1993,2024,2024-11-12,Libya,Central Mediterranean,"Bodies washed ashore off the coasts of Tobruk, Libya,Body washed ashore off the coasts of Tobruk, Libya",32.094609,24.012868,32.094609,24.012868,3,drop-noFix,flagged (shown at IOM's coordinates)
2024.MMP2036,2024,2024-11-24,Libya,Central Mediterranean,"Remains recovered 100 km off the coast of Tobruk, Libya,Remains recovered off the coast of Tobruk, Libya,Remains recovered off the coasts of Ras Nuhna, Tobruk, Libya",32.118367,23.948638,32.118367,23.948638,5,drop-noFix,flagged (shown at IOM's coordinates)
2024.MMP2044,2024,2024-12-01,Algeria,Western Mediterranean,"Unspecified location between Wady Tanja, Skikda, Algeria and Sardinia, Italy - departure on 27 November",36.945536,6.77011,36.945536,6.77011,8,drop-noFix,flagged (shown at IOM's coordinates)
2024.MMP4057,2024,2024-06-26,Libya,Central Mediterranean,"Remains washed ashore near Derna, Libya",32.764518,22.650966,32.764518,22.650966,1,drop-noFix,flagged (shown at IOM's coordinates)
2024.MMP4537,2024,2024-04-08,Belgium,Mainland Europe to the UK,"On the E42 motorway between Spy and Temploux, Belgium - embarkation from Calais presuming truck heading to Nemur was going to U.K",50.496851,4.732043,50.496851,4.732043,1,drop-noFix,flagged (shown at IOM's coordinates)
2025.MMP0106,2025,2025-02-04,Algeria,Western Mediterranean,"Unspecifed location near Jijel, Algeria",36.82685051,5.735223597,36.82685051,5.735223597,20,drop-noFix,flagged (shown at IOM's coordinates)
2025.MMP0215,2025,2025-04-13,Morocco,Western Mediterranean,"In Midlet, Morocco en route to Ceuta",32.83659432,-4.967326053,32.83659432,-4.967326053,1,drop-noFix,flagged (shown at IOM's coordinates)
2025.MMP1583,2025,2025-11-03,Italy,Central Mediterranean,"Off the port of Livorno, Livorno, Tuscany, Italy - stowed away on a cargo ship from Tunisia",43.55043336,10.29359555,43.55043336,10.29359555,2,drop-noFix,flagged (shown at IOM's coordinates)
2025.MMP2325,2025,2025-02-15,Mauritania,Western Africa / Atlantic route to the Canary Islands,Unspecfied location between Mauritania and the Canary Islands,22.4497579,-23.19216866,22.4497579,-23.19216866,60,drop-noFix,flagged (shown at IOM's coordinates)
